draw_date,digit1,digit2,digit3,digit4,digit5,digit6,digit_sum,odd_count,even_count,repeat_count,entropy,mirror_score,transition_score,temporal_weight
2011-12-16,8,8,4,1,7,8,36,2,4,1,1.7925,1,3,3e-05
2011-12-01,4,0,8,1,4,7,24,2,4,1,2.2516,0,2,3e-05
2011-11-16,9,9,7,7,7,7,46,6,0,2,0.9183,1,5,3e-05
2011-11-01,8,0,5,5,4,0,22,2,4,2,1.9183,1,2,3e-05
2011-10-16,9,5,5,7,5,6,37,5,1,1,1.7925,1,4,3e-05
2011-10-01,5,1,1,0,5,2,14,4,2,2,1.9183,0,3,3e-05
2011-09-16,7,3,1,1,9,8,29,5,1,1,2.2516,1,3,3e-05
2011-09-01,7,2,4,5,3,3,24,4,2,1,2.2516,0,4,3e-05
2011-08-16,5,3,6,9,6,0,29,3,3,1,2.2516,0,4,2e-05
2011-08-01,2,1,8,7,5,6,29,3,3,0,2.585,0,4,2e-05
2011-07-16,1,1,6,5,5,6,24,4,2,3,1.585,0,4,2e-05
2011-07-01,6,2,2,9,5,3,27,3,3,1,2.2516,0,2,2e-05
2011-06-16,3,5,1,2,7,6,24,4,2,0,2.585,0,3,2e-05
2011-06-01,5,6,2,3,7,0,23,3,3,0,2.585,0,2,2e-05
2011-05-16,4,0,6,4,1,7,22,2,4,1,2.2516,0,2,2e-05
2011-05-02,0,5,4,1,3,6,19,3,3,0,2.585,0,4,2e-05
2011-04-16,8,2,5,9,8,8,40,2,4,1,1.7925,1,3,2e-05
2011-04-01,8,1,4,9,3,1,26,4,2,1,2.2516,0,2,2e-05
2011-03-16,5,9,3,3,3,1,24,6,0,1,1.7925,1,3,2e-05
2011-03-01,6,5,6,0,3,7,27,3,3,1,2.2516,0,3,2e-05
2011-02-16,4,8,1,7,4,6,30,2,4,1,2.2516,0,2,2e-05
2011-02-01,6,1,0,0,8,9,24,2,4,1,2.2516,1,3,2e-05
2011-01-16,2,8,1,0,6,2,19,1,5,1,2.2516,1,1,2e-05
2010-12-30,8,8,4,1,1,2,24,2,4,2,1.9183,0,4,2e-05
2010-12-16,3,3,4,3,8,0,21,3,3,1,1.7925,0,3,1e-05
2010-12-01,1,8,1,7,5,2,24,4,2,1,2.2516,0,2,1e-05
2010-11-16,8,1,3,9,9,3,33,5,1,2,1.9183,0,2,1e-05
2010-11-01,1,9,1,1,0,0,12,4,2,2,1.4591,1,3,1e-05
2010-10-16,6,2,1,3,7,7,26,4,2,1,2.2516,0,3,1e-05
2010-10-01,4,8,8,3,7,2,32,2,4,1,2.2516,0,1,1e-05
2010-09-16,0,1,7,4,2,2,16,2,4,1,2.2516,0,4,1e-05
2010-09-01,3,5,4,6,5,6,29,3,3,2,1.9183,1,5,1e-05
2010-08-16,9,1,1,0,9,7,27,5,1,2,1.9183,0,3,1e-05
2010-08-01,2,1,0,0,0,8,11,1,5,1,1.7925,1,4,1e-05
2010-07-16,1,8,0,3,8,7,27,3,3,1,2.2516,1,2,1e-05
2010-07-01,4,8,0,2,3,9,26,2,4,0,2.585,0,2,1e-05
2010-06-16,5,0,0,1,0,4,10,2,4,1,1.7925,1,3,1e-05
2010-06-01,4,4,4,8,7,4,31,1,5,1,1.2516,1,4,1e-05
2010-05-16,4,8,0,0,1,2,15,1,5,1,2.2516,1,3,1e-05
2010-05-02,3,6,0,3,7,1,20,4,2,1,2.2516,0,2,1e-05
2010-04-16,2,1,1,7,4,3,18,4,2,1,2.2516,0,4,1e-05
2010-04-01,9,5,9,5,1,7,36,6,0,2,1.9183,0,0,1e-05
2010-03-16,3,6,4,2,2,2,19,1,5,1,1.7925,0,5,1e-05
2010-03-01,2,1,5,2,2,7,19,3,3,1,1.7925,0,3,1e-05
2010-02-16,1,3,3,7,0,7,21,5,1,2,1.9183,0,2,1e-05
2010-02-01,1,8,6,3,1,2,21,3,3,1,2.2516,0,4,1e-05
2010-01-16,0,7,3,5,7,7,29,5,1,1,1.7925,1,3,1e-05
2009-12-30,9,9,4,3,0,4,29,3,3,2,1.9183,0,3,1e-05
2009-12-16,6,8,5,1,4,1,25,3,3,1,2.2516,0,4,1e-05
2009-12-01,7,7,6,9,8,0,37,3,3,1,2.2516,0,4,1e-05
2009-11-16,0,5,5,9,8,6,33,3,3,1,2.2516,0,3,1e-05
2009-11-01,6,8,9,1,4,0,28,2,4,0,2.585,0,3,1e-05
2009-10-16,2,5,8,4,8,7,34,2,4,1,2.2516,0,3,1e-05
2009-10-01,1,6,9,3,8,7,34,4,2,0,2.585,0,2,1e-05
2009-09-16,2,0,2,9,1,2,16,2,4,1,1.7925,1,3,1e-05
2009-09-01,0,1,5,8,6,5,25,3,3,1,2.2516,0,4,1e-05
2009-08-16,4,6,2,9,3,3,27,3,3,1,2.2516,0,2,1e-05
2009-08-01,1,5,4,9,8,6,33,3,3,0,2.585,0,3,1e-05
2009-07-16,0,0,0,8,1,6,15,1,5,1,1.7925,0,2,1e-05
2009-07-01,2,0,7,5,4,2,20,2,4,1,2.2516,1,4,1e-05
2009-06-16,9,3,0,4,5,6,27,3,3,0,2.585,0,3,1e-05
2009-06-01,7,7,7,6,6,1,34,4,2,2,1.4591,0,4,0.0
2009-05-16,1,1,1,4,1,1,9,5,1,1,0.65,2,5,0.0
2009-05-02,2,9,4,4,5,2,26,2,4,2,1.9183,2,3,0.0
2009-04-16,3,6,8,4,1,5,27,3,3,0,2.585,0,3,0.0
2009-04-01,8,1,6,5,7,8,35,3,3,1,2.2516,1,3,0.0
2009-03-16,2,6,8,8,1,2,27,1,5,2,1.9183,2,3,0.0
2009-03-01,5,5,3,0,9,1,23,5,1,1,2.2516,0,3,0.0
2009-02-16,0,3,8,7,3,0,21,3,3,2,1.9183,2,3,0.0
2009-02-01,5,3,4,5,3,3,23,5,1,2,1.4591,1,5,0.0
2009-01-16,7,4,3,2,1,2,19,3,3,1,2.2516,0,5,0.0
2008-12-30,2,1,8,5,9,6,31,3,3,0,2.585,0,3,0.0
2008-12-16,0,7,4,1,1,4,17,3,3,2,1.9183,0,4,0.0
2008-12-01,2,0,5,4,3,4,18,2,4,1,2.2516,0,4,0.0
2008-11-16,0,0,2,6,1,2,11,1,5,2,1.9183,0,3,0.0
2008-11-01,2,7,2,0,2,8,21,1,5,1,1.7925,0,2,0.0
2008-10-16,4,3,1,2,7,7,24,4,2,1,2.2516,0,4,0.0
2008-10-01,8,8,2,9,1,1,29,3,3,2,1.9183,0,2,0.0
2008-09-16,0,1,2,3,7,7,20,4,2,1,2.2516,0,4,0.0
2008-09-01,6,9,5,9,9,3,41,5,1,1,1.7925,1,2,0.0
2008-08-16,3,8,0,3,7,7,28,4,2,2,1.9183,0,2,0.0
2008-08-01,8,5,0,3,4,8,28,2,4,1,2.2516,1,3,0.0
2008-07-16,2,5,7,3,7,4,28,4,2,1,2.2516,0,3,0.0
2008-07-01,9,4,3,6,7,1,30,4,2,0,2.585,0,3,0.0
2008-06-16,7,2,9,1,1,1,21,5,1,1,1.7925,0,2,0.0
2008-06-01,4,1,4,8,7,5,29,3,3,1,2.2516,0,4,0.0
2008-05-16,3,2,9,2,3,1,20,4,2,2,1.9183,0,3,0.0
2008-05-02,4,5,3,0,1,1,14,4,2,1,2.2516,0,5,0.0
2008-04-16,9,8,2,8,0,0,27,1,5,2,1.9183,0,2,0.0
2008-04-01,0,1,2,6,5,3,17,3,3,0,2.585,0,4,0.0
2008-03-16,0,7,4,9,4,6,30,2,4,1,2.2516,0,2,0.0
2008-03-01,9,3,6,6,8,5,37,3,3,1,2.2516,1,4,0.0
2008-02-16,1,3,7,0,5,4,20,4,2,0,2.585,0,2,0.0
2008-02-01,2,1,2,6,8,4,23,1,5,1,2.2516,0,3,0.0
2008-01-16,5,5,6,0,1,0,17,3,3,2,1.9183,0,4,0.0
2007-12-30,5,9,5,4,1,1,25,5,1,2,1.9183,0,3,0.0
2007-12-16,5,1,3,5,0,1,15,5,1,2,1.9183,0,3,0.0
2007-12-01,1,1,3,4,1,0,10,4,2,1,1.7925,1,5,0.0
2007-11-16,5,6,2,4,8,1,26,2,4,0,2.585,0,2,0.0
2007-11-01,9,2,7,9,0,7,34,4,2,2,1.9183,0,1,0.0
2007-10-16,0,3,2,9,8,8,30,2,4,1,2.2516,0,4,0.0
2007-10-01,4,3,0,6,6,7,26,2,4,1,2.2516,0,4,0.0
2007-09-16,4,9,9,3,3,6,34,4,2,2,1.9183,0,3,0.0
2007-09-01,3,3,1,8,1,0,16,4,2,2,1.9183,0,3,0.0
2007-08-16,4,7,6,2,0,7,26,2,4,1,2.2516,0,3,0.0
2007-08-01,4,2,9,9,2,4,30,2,4,3,1.585,3,3,0.0
2007-07-16,5,2,7,3,8,4,29,3,3,0,2.585,0,1,0.0
2007-07-01,5,6,5,1,5,1,23,5,1,2,1.4591,0,2,0.0
2007-06-16,3,9,3,1,9,4,29,5,1,2,1.9183,1,1,0.0
2007-06-01,8,3,6,3,9,3,32,4,2,1,1.7925,0,2,0.0
2007-05-16,2,3,2,8,9,7,31,3,3,1,2.2516,0,4,0.0
2007-05-02,4,3,0,3,7,4,21,3,3,2,1.9183,1,4,0.0
2007-04-16,4,0,5,1,0,5,15,3,3,2,1.9183,1,1,0.0
2007-04-01,6,2,2,7,8,0,25,1,5,1,2.2516,0,2,0.0
2007-03-16,8,7,6,7,6,3,37,3,3,2,1.9183,0,5,0.0
2007-03-01,7,4,2,4,2,5,24,2,4,2,1.9183,0,5,0.0
2007-02-16,2,7,7,8,5,9,38,4,2,1,2.2516,0,3,0.0
2007-02-01,7,6,9,9,2,5,38,4,2,1,2.2516,1,4,0.0
2007-01-16,8,3,8,7,3,9,38,4,2,2,1.9183,1,1,0.0
2006-12-30,7,7,8,5,8,4,39,3,3,2,1.9183,0,4,0.0
